segment_id,session_count,share_pct,dominant_category,hour,day_of_week_num,session_hour_span,session_duration_seconds,event_count,unique_domains,unique_categories,total_visit_count,min_used_mb,avg_used_mb,max_used_mb,avg_available_mb,avg_usage_percent,max_usage_percent,repeat_visit_ratio,max_domain_repeats,top_domain_share,top_category_share,events_per_minute,avg_gap_seconds,median_gap_seconds,max_gap_seconds,category_entropy,domain_entropy,domain_diversity_index,category_switch_count,distance_to_centroid
0.0,232,27.99,Search/Reference,10.1293,2.9181,0.6298,2266.931,80.1724,6.7371,3.7155,1571.4052,2874.354,3533.6028,4206.2515,4658.3972,43.1348,51.3454,0.8399,44.4353,0.5384,0.6172,3.0745,38.6326,7.6679,509.8383,1.2629,1.7623,0.1601,11.8362,4.8068
1.0,597,72.01,Search/Reference,9.1323,2.8459,0.0686,246.6332,12.2563,1.6583,1.464,196.866,3045.8832,3400.119,3755.7605,4791.881,41.5053,45.8468,0.6801,10.9581,0.8851,0.9075,10.6015,22.3284,9.8067,133.3538,0.2904,0.3715,0.3199,0.7755,3.6367
